Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
G04,NEG,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.204053015,0,18470,0,18470,0,,,,,,,,2458.194092,,,,28.96541132,SC2,,,,,,,,,,,,764.2803653,764.2803653,,,,,0.093236394,0,,,,,,,,,,,,,No,0,0,0,18470,0,0,0,18470,0,0,0,0
G05,NEG,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.213304251,0,17669,0,17669,0,,,,,,,,2458.194092,,,,28.07199245,SC2,,,,,,,,,,,,783.5322035,783.5322035,,,,,0.09746331,0,,,,,,,,,,,,,No,0,0,0,17669,0,0,0,17669,0,0,0,0
G06,NEG,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.214250147,0,17591,0,17591,0,,,,,,,,2458.194092,,,,27.54336611,SC2,,,,,,,,,,,,781.7547765,781.7547765,,,,,0.097895488,0,,,,,,,,,,,,,No,0,0,0,17591,0,0,0,17591,0,0,0,0
G04,NEG,,,,RSV,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,0,,,0.204053015,0,18470,0,18470,0,,,,,,,,1986.62207,,,,31.60207253,SC2,,,,,,,,,,,,718.1990471,718.1990471,,,,,0.093236394,0,,,,,,,,,,,,,No,0,0,0,18470,0,0,0,18470,0,0,0,0
G05,NEG,,,,RSV,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,0,,,0.213304251,0,17669,0,17669,0,,,,,,,,1986.62207,,,,29.86744452,SC2,,,,,,,,,,,,731.835812,731.835812,,,,,0.09746331,0,,,,,,,,,,,,,No,0,0,0,17669,0,0,0,17669,0,0,0,0
G06,NEG,,,,RSV,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,0,,,0.214250147,0,17591,0,17591,0,,,,,,,,1986.62207,,,,29.73552178,SC2,,,,,,,,,,,,730.5612345,730.5612345,,,,,0.097895488,0,,,,,,,,,,,,,No,0,0,0,17591,0,0,0,17591,0,0,0,0
G04,NEG,,,,SC2,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,0,,,0.204053015,0,18470,0,18470,,,,,,,,,4765.88623,,,,75.48333908,,,,,,,,,,,,,624.5178841,624.5178841,,,,,0.093236394,0,,,,,,,,,,,,,No,0,0,0,18470,0,0,0,18470,0,0,0,0
G05,NEG,,,,SC2,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,0,,,0.213304251,0,17669,0,17669,,,,,,,,,4765.88623,,,,74.07270617,,,,,,,,,,,,,642.6733979,642.6733979,,,,,0.09746331,0,,,,,,,,,,,,,No,0,0,0,17669,0,0,0,17669,0,0,0,0
G06,NEG,,,,SC2,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,0,,,0.214250147,0,17591,0,17591,,,,,,,,,4765.88623,,,,73.9710904,,,,,,,,,,,,,643.0967431,643.0967431,,,,,0.097895488,0,,,,,,,,,,,,,No,0,0,0,17591,0,0,0,17591,0,0,0,0
A06,26LL260323I,,,,FluA,0.071925074,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,1.438501477,,,0.343551248,0.00302077,17489,1,17488,0,2,,,8.69561802,0,2,,3148.271973,,,,57.38276911,SC2,1,,,4.34780901,0,50,,,133.6952252,0,5054.348633,886.1471132,886.3854459,,,,,0.179029137,0.019491287,,,5.13688369,0,,,2.568441845,0,,,89.21104613,10.78895387,No,0,1,0,17488,0,0,1,17488,0,0,0,0
