Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
D04,23ZZ260405I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.215069383,0,17524,0,17524,0,,,,,,,,2692.307617,,,,52.54312509,SC2,,,,,,,,,,,,632.3258186,632.3258186,,,,,0.098269783,0,,,,,,,,,,,,,No,0,0,0,17524,0,1,0,17523,0,0,0,0
D05,23ZZ260405I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.224165186,0,16813,0,16813,0,0,,,,,2,,2692.307617,,,,45.56584698,SC2,,,,,,,,,,,,635.7685698,635.7685698,,,,,0.102425657,0,,,,,,,,,,,,,No,0,0,0,16813,0,0,0,16813,0,0,0,0
D06,23ZZ260405I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.207399532,0,18172,0,18172,0,,,,,,,,2692.307617,,,,55.93302067,SC2,,,,,,,,,,,,635.5865632,635.5865632,,,,,0.094765432,0,,,,,,,,,,,,,No,0,0,0,18172,0,2,0,18170,0,0,0,0
D04,23ZZ260405I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.215069383,0,17524,0,17524,0,,,,,,,,1629.877319,,,,14.71778255,SC2,,,,,,,,,,,,699.6323398,699.6323398,,,,,0.098269783,0,,,,,,,,,,,,,No,0,0,0,17524,0,1,0,17523,0,0,0,0
D05,23ZZ260405I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.224165186,0,16813,0,16813,0,0,,,,,2,,1629.877319,,,,14.13360675,SC2,,,,,,,,,,,,704.9728343,704.9728343,,,,,0.102425657,0,,,,,,,,,,,,,No,0,0,0,16813,0,0,0,16813,0,0,0,0
D06,23ZZ260405I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.207399532,0,18172,0,18172,0,,,,,,,,1629.877319,,,,15.24692616,SC2,,,,,,,,,,,,700.0890867,700.0890867,,,,,0.094765432,0,,,,,,,,,,,,,No,0,0,0,18172,0,2,0,18170,0,0,0,0
D04,23ZZ260405I,,,,RSV,0.071781419,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,1.435628414,,,0.34286496,0.003014737,17524,1,17523,0,,,,,,,,1622.073608,,,,18.16814989,SC2,,,,,,100,,,249.8085338,0,1706.889771,678.4184815,678.4771708,,,,,0.178671539,0.01945236,,,,,,,,,,,168.4507105,31.54928947,No,0,0,0,17524,0,1,0,17523,0,0,0,0
D05,23ZZ260405I,,,,RSV,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,0,,,0.224165186,0,16813,0,16813,0,0,,,,,2,,1622.073608,,,,16.83898521,SC2,,,,,,,,,,,,681.410877,681.410877,,,,,0.102425657,0,,,,,,,,,,,,,No,0,0,0,16813,0,0,0,16813,0,0,0,0
D06,23ZZ260405I,,,,RSV,0.138447151,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,2.768943071,,,0.443500012,0.020973764,18172,2,18170,0,,,,,,,,1622.073608,,,1.215598556,18.41844296,SC2,,,,,,100,,,174.9020588,25.09794123,1746.675354,678.675875,678.7934184,,,,,0.266178161,0.06008419,,,,,,,,,,,134.2244069,65.77559315,No,0,0,0,18172,0,2,0,18170,0,0,0,0
D04,23ZZ260405I,,,,SC2,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,0,,,0.215069383,0,17524,0,17524,,,,,,,,,4137.123535,,,,64.93068607,,,,,,,,,,,,,545.3514673,545.3514673,,,,,0.098269783,0,,,,,,,,,,,,,No,0,0,0,17524,0,1,0,17523,0,0,0,0
