Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmBBbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
D06,26LL260403I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.247012928,0,15258,0,15258,0,,,,,,,,2645.484863,,,,56.60634858,SC2,,,,,,,,,,,,710.4033196,710.4033196,,,,,0.11286471,0,,,,,,,,,,,,,No,0,0,0,15258,0,0,0,15258,0,0,0,0
D04,26LL260403I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.241721109,0,15592,0,15592,0,,,,,,,,2387.959961,,,,31.87516502,SC2,,,,,,,,,,,,681.3073808,681.3073808,,,,,0.1104469,0,,,,,,,,,,,,,No,0,0,0,15592,0,1,0,15591,0,0,0,0
D05,26LL260403I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.234180704,0,16094,0,16094,0,,,,,,,,2387.959961,,,,31.27123457,SC2,,,,,,,,,,,,677.2454211,677.2454211,,,,,0.107001722,0,,,,,,,,,,,,,No,0,0,0,16094,0,2,0,16092,0,0,0,0
D06,26LL260403I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.247012928,0,15258,0,15258,0,,,,,,,,2387.959961,,,,30.51404393,SC2,,,,,,,,,,,,689.8502721,689.8502721,,,,,0.11286471,0,,,,,,,,,,,,,No,0,0,0,15258,0,0,0,15258,0,0,0,0
D04,26LL260403I,,,,RSV,0.080676109,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,1.613522172,,,0.3853558,0.003388293,15592,1,15591,0,,,,,,,,1605.351196,,,,26.16259633,SC2,,,,,,100,,,249.8095984,0,3161.544922,636.6921173,636.8540499,,,,,0.200812429,0.021862715,,,,,,,,,,,168.4508103,31.54918969,No,0,0,0,15592,0,1,0,15591,0,0,0,0
D05,26LL260403I,,,,RSV,0.156324059,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,3.126481056,,,0.500774562,0.023681847,16094,2,16092,0,,,,,,,,1605.351196,,,23.72554498,24.13490541,SC2,,,,,,100,,,174.9023233,25.09767671,3359.196655,633.5232347,633.8619539,,,,,0.300550252,0.06784226,,,,,,,,,,,134.2243295,65.77567052,No,0,0,0,16094,0,2,0,16092,0,0,0,0
D06,26LL260403I,,,,RSV,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,0,,,0.247012928,0,15258,0,15258,0,,,,,,,,1605.351196,,,,23.14791959,SC2,,,,,,,,,,,,643.2491429,643.2491429,,,,,0.11286471,0,,,,,,,,,,,,,No,0,0,0,15258,0,0,0,15258,0,0,0,0
D04,26LL260403I,,,,SC2,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,0,,,0.241721109,0,15592,0,15592,,,,,,,,,3169.453613,,,,49.00134873,,,,,,,,,,,,,580.5818459,580.5818459,,,,,0.1104469,0,,,,,,,,,,,,,No,0,0,0,15592,0,1,0,15591,0,0,0,0
D05,26LL260403I,,,,SC2,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,0,,,0.234180704,0,16094,0,16094,,,,,,,,,3169.453613,,,,48.96026349,,,,,,,,,,,,,572.0247142,572.0247142,,,,,0.107001722,0,,,,,,,,,,,,,No,0,0,0,16094,0,2,0,16092,0,0,0,0
D06,26LL260403I,,,,SC2,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,0,,,0.247012928,0,15258,0,15258,,,,,,,,,3169.453613,,,,46.11278053,,,,,,,,,,,,,585.7248229,585.7248229,,,,,0.11286471,0,,,,,,,,,,,,,No,0,0,0,15258,0,0,0,15258,0,0,0,0
