Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
E04,POS,,,,FluA,24.8484745,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,496.9694824,,,27.65885353,22.04436302,15388,301,15087,0.119843201,2.567282677,,,3.005309932,2.129255495,2,,2933.110352,,,3.310576753,51.34675797,SC2,1.283641357,,,1.502654966,1.064627748,56.21028683,,,60.40995816,52.0106155,4403.730457,723.8665172,795.8472194,,,,,26.28155708,23.41702461,,,2.790765739,2.343799688,,,1.39538287,1.171899844,,,58.35297389,54.06759977,No,5,296,178,14909,10,308,228,14842,0,0,0,0
E05,POS,,,,FluA,26.06889534,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,521.3779297,,,28.94655418,23.19780159,15406,316,15090,0.096521616,2.554105043,,,2.978794826,2.129415396,2,,2933.110352,,,3.340781955,59.35631818,SC2,1.277052555,,,1.489397413,1.064707698,56.08357841,,,60.17897193,51.98818489,4456.570565,724.0695272,800.6286813,,,,,27.53626442,24.60323143,,,2.770783216,2.337427006,,,1.385391608,1.168713503,,,58.17306181,53.99409502,No,5,311,183,14907,6,257,239,14904,0,0,0,0
E06,POS,,,,FluA,25.19695854,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,503.9391785,,,27.94366837,22.45623016,16337,324,16013,0,2.536602974,,,2.952356784,2.120849007,2,,2933.110352,,,3.560830418,43.87554359,SC2,1.268301448,,,1.476178392,1.060424503,55.91414884,,,59.95436671,51.87393098,4424.544364,727.5550332,800.8747702,,,,,26.5975914,23.79788208,,,2.748722048,2.324483743,,,1.374361024,1.162241871,,,57.97548276,53.85281493,No,2,322,223,15790,5,286,253,15793,0,0,0,0
E04,POS,,,,FluB,19.60685921,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,392.1371765,,,22.10036469,17.11828613,15388,238,15150,0.430741917,2.02573204,,,2.390865044,1.660599017,2,,2402.452637,,,3.697119102,29.68098592,SC2,1.012866015,,,1.195432522,0.830299509,50.31959443,,,54.82559633,45.81359253,3856.103049,719.5392409,768.0512104,,,,,20.87843895,18.33656311,,,2.212024252,1.839439809,,,1.106012126,0.919719905,,,52.61857336,48.0206155,No,5,296,178,14909,10,308,228,14842,0,0,0,0
E05,POS,,,,FluB,20.16440582,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,403.2881165,,,22.69195366,17.64192581,15406,245,15161,0.153405225,1.975611567,,,2.324412471,1.626810724,2,,2402.452637,,,3.911354485,29.26226924,SC2,0.987805799,,,1.162206236,0.813405362,49.69327483,,,54.10694284,45.27960683,3957.202301,719.0508579,770.5468402,,,,,21.45333672,18.87679482,,,2.153570987,1.797652208,,,1.076785494,0.898826104,,,51.94514323,47.44140644,No,5,311,183,14907,6,257,239,14904,0,0,0,0
E06,POS,,,,FluB,20.02314758,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,400.4629517,,,22.46885872,17.58218002,16337,258,16079,0.032211117,2.01575017,,,2.364287744,1.667212649,2,,2402.452637,,,4.054541312,27.9823919,SC2,1.007875098,,,1.182143872,0.833606324,50.19610528,,,54.51871662,45.87349394,3884.684712,716.0458433,766.0861707,,,,,21.27036476,18.77716446,,,2.193575333,1.83792506,,,1.096787667,0.91896253,,,52.40151746,47.9906931,No,2,322,223,15790,5,286,253,15793,0,0,0,0
E04,POS,,,,RSV,26.26663017,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,525.3325806,,,29.1570034,23.38288498,15388,318,15070,0.430741917,2.713803053,,,3.171371388,2.256234688,2,,1528.428101,,,2.059951229,22.55484875,SC2,1.356901519,,,1.585685694,1.128117344,57.57141349,,,61.68995178,53.45287519,3009.88165,654.0424355,702.7269215,,,,,27.74048233,24.79450798,,,2.94725599,2.480350086,,,1.473627995,1.240175043,,,59.67270594,55.47012103,No,5,296,178,14909,10,308,228,14842,0,0,0,0
E05,POS,,,,RSV,21.65869713,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,433.1739502,,,24.27910042,19.04374123,15406,263,15143,0.153405225,2.122014999,,,2.490158409,1.753871751,2,,1528.428101,,,1.973391017,22.55377338,SC2,1.06100754,,,1.245079204,0.876935876,51.48004165,,,55.81343166,47.14665164,2978.14427,655.9113614,695.5548286,,,,,22.99495697,20.32385826,,,2.309843058,1.934187102,,,1.154921529,0.967093551,,,53.69095197,49.26913133,No,5,311,183,14907,6,257,239,14904,0,0,0,0
E06,POS,,,,RSV,22.60739136,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,452.1478271,,,25.20763969,20.01250648,16337,291,16046,0.032211117,2.275908709,,,2.65815534,1.893661839,2,,1528.428101,,,1.957715084,22.46910616,SC2,1.137954295,,,1.32907767,0.946830919,53.22631534,,,57.40766969,49.04496099,2963.958664,654.9933075,696.1213554,,,,,23.93337822,21.28280258,,,2.470932317,2.080884862,,,1.235466159,1.040442431,,,55.35965803,51.09297265,No,2,322,223,15790,5,286,253,15793,0,0,0,0
E04,POS,,,,SC2,19.35780144,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,387.1560364,,,21.83527946,16.88519096,15388,235,15153,,,,,,,,,4518.394531,,,5.593696287,54.88202406,,,,,,,,,,,,6571.865818,630.1177627,720.8580014,,,,,20.62121201,18.09565926,,,,,,,,,,,,,No,5,296,178,14909,10,308,228,14842,0,0,0,0
