Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
F04,POS,,,,FluA,18.37768173,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,367.5536499,,,20.69530678,16.06432152,16685,242,16443,0,2.635059834,,,3.14023058,2.129889234,2,,2977.703369,,,5.320282912,58.30726635,SC2,1.317529954,,,1.57011529,1.064944617,56.85061164,,,61.55342152,52.14780176,4874.475864,740.5948665,800.5528648,,,,,19.55960846,17.19686317,,,2.892799806,2.377320008,,,1.446399903,1.188660004,,,59.25000221,54.45122108,No,2,240,208,16235,0,330,183,16172,0,0,0,0
F05,POS,,,,FluA,20.10357857,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,402.0715637,,,22.50388527,17.70784569,17029,270,16759,0,2.551563025,,,3.010486478,2.09263967,2,,2977.703369,,,4.918578617,55.026401,SC2,1.275781537,,,1.505243239,1.046319835,56.0590512,,,60.48951376,51.62858864,4891.042205,736.4486605,802.321011,,,,,21.32765198,18.88069725,,,2.78570744,2.317418708,,,1.39285372,1.158709354,,,58.31948908,53.79861332,No,2,268,198,16561,2,288,203,16536,0,0,0,0
F06,POS,,,,FluA,17.1533947,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,343.0679016,,,19.28583908,15.02455711,18384,249,18135,0.006172957,2.55763793,,,3.037009997,2.078266051,2,,2977.703369,,,5.132304256,51.98128129,SC2,1.278819012,,,1.518504999,1.039133026,56.11762081,,,60.73316565,51.50207596,4892.129422,747.7306272,803.863966,,,,,18.24092484,16.06680298,,,2.802215452,2.313060596,,,1.401107726,1.156530298,,,58.47248957,53.76275204,No,3,246,212,17923,7,323,188,17866,0,0,0,0
F04,POS,,,,FluB,13.87236023,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,277.4472046,,,15.88390732,11.86402416,16685,183,16502,0,1.989070296,,,2.396082414,1.582058114,2,,2230.769287,,,2.939027183,26.88440659,SC2,0.994535132,,,1.198041207,0.791029057,49.86300397,,,54.97857357,44.74743437,3687.607643,691.6475473,724.5070437,,,,,14.89825821,12.84729862,,,2.19672937,1.781411158,,,1.098364685,0.890705579,,,52.47298652,47.25302142,No,2,240,208,16235,0,330,183,16172,0,0,0,0
F05,POS,,,,FluB,15.23438358,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,304.6876831,,,17.32159615,13.15062714,17029,205,16824,0,1.933560729,,,2.304788277,1.562333238,2,,2230.769287,,,2.989576579,26.73512134,SC2,0.966780379,,,1.152394139,0.781166619,49.15548219,,,53.95390412,44.35706025,3700.18788,686.9263505,723.2008594,,,,,16.29885483,14.1708107,,,2.12296246,1.744159055,,,1.06148123,0.872079528,,,51.60365544,46.70730894,No,2,268,198,16561,2,288,203,16536,0,0,0,0
F06,POS,,,,FluB,13.4134655,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,268.2693176,,,15.29757881,11.5321703,18384,195,18189,0.246419803,2,,,2.396995973,1.603004027,2,,2230.769287,,,2.937153726,27.34440648,SC2,1,,,1.198497987,0.801502013,50,,,54.96244967,45.03755033,3709.871071,691.0628963,723.0835443,,,,,14.37439537,12.453269,,,2.202548921,1.797451079,,,1.10127446,0.89872554,,,52.53186151,47.46813849,No,3,246,212,17923,7,323,188,17866,0,0,0,0
F04,POS,,,,RSV,25.12761116,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,502.5522156,,,27.84171104,22.41935349,16685,330,16355,0,3.602889776,,,4.252611222,2.953168233,2,,1981.047974,,,2.707706547,32.82462451,SC2,1.801444864,,,2.126305611,1.476584116,64.30413417,,,68.44349304,60.16477529,3359.032822,646.9226928,700.5634685,,,,,26.51162529,23.74511909,,,3.934379976,3.271399479,,,1.967189988,1.635699739,,,66.41604998,62.19221835,No,2,240,208,16235,0,330,183,16172,0,0,0,0
F05,POS,,,,RSV,21.60559464,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,432.1118774,,,24.09478378,19.12131882,17029,290,16739,0,2.742200136,,,3.227873804,2.256526625,2,,1981.047974,,,2.517031703,32.04459711,SC2,1.371100107,,,1.613936902,1.128263313,57.82548375,,,62.1447971,53.5061704,3252.602179,644.0679995,688.4907438,,,,,22.8749733,20.3374939,,,2.989992696,2.494407733,,,1.494996348,1.247203867,,,60.02921357,55.62175393,No,2,268,198,16561,2,288,203,16536,0,0,0,0
F06,POS,,,,RSV,22.78421974,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,455.6843872,,,25.24494934,20.32829285,18384,330,18054,0.246419803,3.397216082,,,3.998650764,2.795781217,2,,1981.047974,,,2.547191843,33.9011744,SC2,1.698607995,,,1.999325382,1.397890608,62.9438584,,,67.07318214,58.81453465,3285.049025,650.0801887,697.3789113,,,,,24.03909111,21.53059578,,,3.704070293,3.090361688,,,1.852035146,1.545180844,,,65.05065503,60.83706176,No,3,246,212,17923,7,323,188,17866,0,0,0,0
F04,POS,,,,SC2,13.94858742,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,278.9717407,,,15.96568871,11.93471432,16685,184,16501,,,,,,,,,4015.607666,,,6.781531136,61.45515467,,,,,,,,,,,,6921.781733,617.232138,686.7578872,,,,,14.9773159,12.92069817,,,,,,,,,,,,,No,2,240,208,16235,0,330,183,16172,0,0,0,0
F05,POS,,,,SC2,15.75785351,,Manual,Droplets Analyzed Manually,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,315.157074,,,17.88087463,13.63840771,17029,212,16817,,,,,,,,,4015.607666,,,6.357246493,62.73401458,,,,,,,,,,,,6914.676518,607.0542142,685.5800189,,,,,16.84057999,14.67605686,,,,,,,,,,,,,No,2,268,198,16561,2,288,203,16536,0,0,0,0
